Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Searching Embase and MEDLINE by using only major descriptors or title and abstract fields: a prospective exploratory study.","/pubmed/30458825","Bramer WM, Giustini D, Kleijnen J, Franco OH.","Syst Rev. 2018 Nov 20;7(1):200. doi: 10.1186/s13643-018-0864-9.","Syst Rev.  2018","PubMed","citation","PMID:30458825 | PMCID:PMC6247690","pubmed","30458825","create date:2018/11/22 | first author:Bramer WM",
"Editorial announcement regarding title change of Chinese Journal of Cancer to Cancer Communications.","/pubmed/29764486","Xu RH.","Cancer Commun (Lond). 2018 Mar 9;38(1):1. doi: 10.1186/s40880-018-0270-7. No abstract available. ","Cancer Commun (Lond).  2018","PubMed","citation","PMID:29764486 | PMCID:PMC5892389","pubmed","29764486","create date:2018/05/17 | first author:Xu RH",
"Technology-assisted title and abstract screening for systematic reviews: a retrospective evaluation of the Abstrackr machine learning tool.","/pubmed/29530097","Gates A, Johnson C, Hartling L.","Syst Rev. 2018 Mar 12;7(1):45. doi: 10.1186/s13643-018-0707-8.","Syst Rev.  2018","PubMed","citation","PMID:29530097 | PMCID:PMC5848519","pubmed","29530097","create date:2018/03/14 | first author:Gates A",
"Expediting citation screening using PICo-based title-only screening for identifying studies in scoping searches and rapid reviews.","/pubmed/29178925","Rathbone J, Albarqouni L, Bakhit M, Beller E, Byambasuren O, Hoffmann T, Scott AM, Glasziou P.","Syst Rev. 2017 Nov 25;6(1):233. doi: 10.1186/s13643-017-0629-x. Review.","Syst Rev.  2017","PubMed","citation","PMID:29178925 | PMCID:PMC5702220","pubmed","29178925","create date:2017/11/28 | first author:Rathbone J",
"Formulating the Right Title for a Research Article.","/pubmed/27730781","Bavdekar SB.","J Assoc Physicians India. 2016 Feb;64(2):53-56.","J Assoc Physicians India.  2016","PubMed","citation","PMID:27730781","pubmed","27730781","create date:2016/10/13 | first author:Bavdekar SB",
"Why the Title of Your Manuscript Is Important.","/pubmed/27314484","Oermann MH.","Nurse Educ. 2016 Jul-Aug;41(4):184. doi: 10.1097/NNE.0000000000000280. No abstract available. ","Nurse Educ.  2016","PubMed","citation","PMID:27314484","pubmed","27314484","create date:2016/06/18 | first author:Oermann MH",
"Bibliometric Analysis of Manuscript Title Characteristics Associated With Higher Citation Numbers: A Comparison of Three Major Radiology Journals, AJNR, AJR, and Radiology.","/pubmed/27162149","Chokshi FH, Kang J, Kundu S, Castillo M.","Curr Probl Diagn Radiol. 2016 Nov - Dec;45(6):356-360. doi: 10.1067/j.cpradiol.2016.03.002. Epub 2016 Mar 24.","Curr Probl Diagn Radiol.  2016","PubMed","citation","PMID:27162149","pubmed","27162149","create date:2016/05/11 | first author:Chokshi FH",
"A new title and a new cover for our journal.","/pubmed/27117016","Fontaine C.","Hand Surg Rehabil. 2016 Feb;35(1):1-2. doi: 10.1016/j.hansur.2015.12.004. Epub 2016 Feb 16. No abstract available. ","Hand Surg Rehabil.  2016","PubMed","citation","PMID:27117016","pubmed","27117016","create date:2016/04/28 | first author:Fontaine C",
"Should title lengths really adhere to the American Psychological Association's twelve word limit?","/pubmed/27042886","Hallock RM, Dillner KM.","Am Psychol. 2016 Apr;71(3):240-2. doi: 10.1037/a0040226.","Am Psychol.  2016","PubMed","citation","PMID:27042886","pubmed","27042886","create date:2016/04/05 | first author:Hallock RM",
"Writing the Title, Abstract and Introduction: Looks Matter!","/pubmed/27029687","Dewan P, Gupta P.","Indian Pediatr. 2016 Mar;53(3):235-41. No abstract available. ","Indian Pediatr.  2016","PubMed","citation","PMID:27029687","pubmed","27029687","create date:2016/04/01 | first author:Dewan P",
"Journal title changes from Korean Journal of Urology to Investigative and Clinical Urology.","/pubmed/26966720","Park K.","Investig Clin Urol. 2016 Jan;57(1):1-2. doi: 10.4111/icu.2016.57.1.1. Epub 2016 Jan 11. No abstract available. ","Investig Clin Urol.  2016","PubMed","citation","PMID:26966720 | PMCID:PMC4778752","pubmed","26966720","create date:2016/03/12 | first author:Park K",
"Comparison of abstract title-type in successfully published-abstracts presented at 2009 AHA annual-meeting. Indicative was more frequent, but informative led to publications with a higher impact-factor.","/pubmed/26451787","Funabashi N, Takaoka H, Mizuno N, Kobayashi Y.","Int J Cardiol. 2016 Jan 1;202:576-7. doi: 10.1016/j.ijcard.2015.08.198. Epub 2015 Sep 14. No abstract available. ","Int J Cardiol.  2016","PubMed","citation","PMID:26451787","pubmed","26451787","create date:2015/10/10 | first author:Funabashi N",
"The Title: It Really Does Matter.","/pubmed/26166026","Edwards PC.","Oral Surg Oral Med Oral Pathol Oral Radiol. 2015 Aug;120(2):97-8. doi: 10.1016/j.oooo.2015.05.010. Epub 2015 May 29. No abstract available. ","Oral Surg Oral Med Oral Pathol Oral Radiol.  2015","PubMed","citation","PMID:26166026","pubmed","26166026","create date:2015/07/15 | first author:Edwards PC",
"Faster title and abstract screening? Evaluating Abstrackr, a semi-automated online screening program for systematic reviewers.","/pubmed/26073974","Rathbone J, Hoffmann T, Glasziou P.","Syst Rev. 2015 Jun 15;4:80. doi: 10.1186/s13643-015-0067-6.","Syst Rev.  2015","PubMed","citation","PMID:26073974 | PMCID:PMC4472176","pubmed","26073974","create date:2015/06/16 | first author:Rathbone J",
"[Tips for a Title].","/pubmed/26061522","Donato H, Marinho RT.","Acta Med Port. 2015 Mar-Apr;28(2):269-70. Epub 2015 May 29. Portuguese.  No abstract available. ","Acta Med Port.  2015","PubMed","citation","PMID:26061522","pubmed","26061522","create date:2015/06/11 | first author:Donato H",
"Title and Abstract Screening and Evaluation in Systematic Reviews (TASER): a pilot randomised controlled trial of title and abstract screening by medical students.","/pubmed/25335439","Ng L, Pitt V, Huckvale K, Clavisi O, Turner T, Gruen R, Elliott JH.","Syst Rev. 2014 Oct 21;3:121. doi: 10.1186/2046-4053-3-121.","Syst Rev.  2014","PubMed","citation","PMID:25335439 | PMCID:PMC4217707","pubmed","25335439","create date:2014/10/23 | first author:Ng L",
"The British Nursing Index and CINAHL: a comparison of journal title coverage and the implications for information professionals.","/pubmed/25041256","Briscoe S, Cooper C.","Health Info Libr J. 2014 Sep;31(3):195-203. doi: 10.1111/hir.12069. Epub 2014 Jul 9.","Health Info Libr J.  2014","PubMed","citation","PMID:25041256","pubmed","25041256","create date:2014/07/22 | first author:Briscoe S",
"Gendered innovations in orthopaedic science: Title IX education: book learnin' and bone mendin'.","/pubmed/24964885","Ladd AL.","Clin Orthop Relat Res. 2014 Sep;472(9):2586-9. doi: 10.1007/s11999-014-3738-z. Epub 2014 Jun 26. Review. No abstract available. ","Clin Orthop Relat Res.  2014","PubMed","citation","PMID:24964885 | PMCID:PMC4117888","pubmed","24964885","create date:2014/06/27 | first author:Ladd AL",
"Writing style: what's in a title?","/pubmed/24841579","Anstey A.","Br J Dermatol. 2014 May;170(5):1003-4. doi: 10.1111/bjd.13039. No abstract available. ","Br J Dermatol.  2014","PubMed","citation","PMID:24841579","pubmed","24841579","create date:2014/05/21 | first author:Anstey A",
"The anatomy of an article: title, abstract, and introduction.","/pubmed/24747468","Sauaia A, Moore EE, Crebs JL, Maier RV, Hoyt DB, Shackford SR.","J Trauma Acute Care Surg. 2014 May;76(5):1322-7. doi: 10.1097/TA.0000000000000210. No abstract available. ","J Trauma Acute Care Surg.  2014","PubMed","citation","PMID:24747468","pubmed","24747468","create date:2014/04/22 | first author:Sauaia A",
"[Poor title--poor manuscript?].","/pubmed/24569717","Benestad HB, Laake P.","Tidsskr Nor Laegeforen. 2014 Feb 25;134(4):382. doi: 10.4045/tidsskr.14.0143. Norwegian.  No abstract available. ","Tidsskr Nor Laegeforen.  2014","PubMed","citation","PMID:24569717","pubmed","24569717","create date:2014/02/27 | first author:Benestad HB",
